sector_id,sector_nombre,variable_id,actividad_producto_nombre,indicador,unidad_de_medida,fuente,frecuencia_nombre,cobertura_nombre,alcance_tipo,alcance_id,alcance_nombre,indice_tiempo,valor
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2019-06-01,590336.92235
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2019-07-01,584032.41243
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2019-08-01,617698.5667
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2019-09-01,605838.35304
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2019-10-01,669988.378321
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2019-11-01,679345.78182
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2019-12-01,883049.91692
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2020-01-01,743666.02359
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2020-02-01,770114.00146
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2020-03-01,706232.93299
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2020-04-01,462785.37682
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2020-05-01,495195.609378
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2020-06-01,492194.634533
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2020-07-01,518942.5376
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2020-08-01,552759.85258
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2020-09-01,547489.90538
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2020-10-01,620579.64986
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2020-11-01,630822.70595
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2020-12-01,881476.78876
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2021-01-01,788246.18587
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2021-02-01,757531.31546
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2021-03-01,891016.05574
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2021-04-01,912712.98044
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2021-05-01,892263.37775
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2021-06-01,914622.5901
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2021-07-01,1052052.78578
31,Comercio interno,739,Alimentos preparados y rotiser�a,Ventas en super (amp),miles de pesos a precios corrientes,INDEC,Mensual,Nacional,PAIS,200,Argentina,2021-08-01,1087448.22847
