ID,Ejercicio,Ramo,Siniestro,Fecha de ocurrencia,Fecha de derivacion,Suma asegurada,Ajuste,Accesorios,Tope de suma asegurada,Agencia,Marca de la unidad,Modelo de la unidad,Modelo / Año,Indemnizacion,MT indem - MT aseg,Fecha de pago
3827,99,4,75437,9/8/2021,10/7/2021 12:00:00 a. m.,880500,10,0,968550,BUENOS AIRES,PEUGEOT,PEUGEOT 307 2.0 5 P. XS HDI PREMIUM 110 HP,2007,"880.500,00",0,10/22/2021 12:00:00 a. m.
3828,99,4,75541,9/9/2021,9/13/2021 12:00:00 a. m.,786500,20,0,943800,EXT.CASA MATRIZ,RENAULT,RENAULT SANDERO 1.6 16V LUXE L/11,2011,"943.800,00",157300,9/29/2021 12:00:00 a. m.
3829,99,4,75655,9/2/2021,9/14/2021 12:00:00 a. m.,583000,20,0,699600,CASA MATRIZ,CITROEN,CITROEN C 3 1.4 I,2007,"583.000,00",0,10/22/2021 12:00:00 a. m.
3830,99,4,75696,9/8/2021,9/14/2021 12:00:00 a. m.,470800,20,60000,636960,EXT.CASA MATRIZ,RENAULT,RENAULT MEGANE 2 RN 4P.,2000,"530.000,00",59200,10/21/2021 12:00:00 a. m.
3831,99,4,75703,9/9/2021,9/23/2021 12:00:00 a. m.,1331000,20,0,1597200,MORON,CHEVROLET,CHEVROLET CRUZE 1.8 LTZ 5 PTAS.,2015,"1.500.000,00",169000,11/2/2021 12:00:00 a. m.
3832,99,4,75718,9/9/2021,9/13/2021 12:00:00 a. m.,880500,20,0,1056600,MENDOZA,VOLKSWAGEN,VW BORA 1.9 TDI TRENDLINE,2004,"880.500,00",0,10/14/2021 12:00:00 a. m.
3833,99,4,75949,9/10/2021,9/13/2021 12:00:00 a. m.,1342000,20,30000,1646400,MARTINEZ,FORD,FORD RANGER XL 3.0 TDI D/C 4X2 PLUS,2008,"1.353.333,00",11333,11/24/2021 12:00:00 a. m.
3834,99,4,75966,9/9/2021,9/13/2021 12:00:00 a. m.,4200000,20,750000,5940000,BUENOS AIRES,MERCEDES BENZ,M.BENZ ATEGO 1725-36,2012,"5.940.000,00",1740000,9/30/2021 12:00:00 a. m.
3835,99,4,76073,9/10/2021,9/13/2021 12:00:00 a. m.,440000,20,0,528000,MARTINEZ,CHEVROLET,CHEVROLET CORSA GL 1.6 5P. FULL,1999,"440.000,00",0,12/6/2021 12:00:00 a. m.
3836,99,4,76124,9/9/2021,9/13/2021 12:00:00 a. m.,1300000,30,0,1690000,EXT.CASA MATRIZ,FORD,FORD ECO SPORT 1.6 SE L/13,2014,"1.630.000,00",330000,9/29/2021 12:00:00 a. m.
3837,99,4,76231,9/9/2021,9/14/2021 12:00:00 a. m.,1542000,10,0,1696200,CASA MATRIZ,FIAT,FIAT STRADA 1.4 WORKING L/14 DC,2019,"1.696.200,00",154200,12/9/2021 12:00:00 a. m.
3838,99,4,76449,9/9/2021,9/22/2021 12:00:00 a. m.,1450000,20,0,1740000,SAN MARTIN,MERCEDES BENZ,M. BENZ SPRINTER 313 CDI/C 3550,2006,"1.740.000,00",290000,9/30/2021 12:00:00 a. m.
3839,99,4,76560,9/10/2021,9/13/2021 12:00:00 a. m.,2420000,20,0,2904000,AVELLANEDA,JEEP,JEEP RENEGADE 1.8 SPORT 4X2,2016,"2.600.000,00",180000,12/2/2021 12:00:00 a. m.
3840,99,4,76747,9/10/2021,9/13/2021 12:00:00 a. m.,2618000,20,700500,3982200,MENDOZA,TOYOTA,TOYOTA HILUX SW4 TD SRV CUERO 7 ASIENTOS,2009,"3.500.000,00",882000,11/19/2021 12:00:00 a. m.
3841,99,4,76855,9/10/2021,9/15/2021 12:00:00 a. m.,870000,10,50000,1012000,QUILMES,PEUGEOT,PEUGEOT 207 COMPACT 1.4 5 P. XS / ALLURE,2014,"990.000,00",120000,9/28/2021 12:00:00 a. m.
3842,99,4,77125,9/10/2021,9/14/2021 12:00:00 a. m.,786500,20,60000,1015800,CASA MATRIZ,FORD,FORD ECO SPORT 1.6 XLS L/07,2007,"895.000,00",108500,10/14/2021 12:00:00 a. m.
3843,99,4,77172,9/12/2021,9/22/2021 12:00:00 a. m.,606900,20,24000,757080,QUILMES,SUZUKI,SUZUKI FUN 1.0,2004,"665.000,00",58100,10/22/2021 12:00:00 a. m.
3844,99,4,77179,9/13/2021,9/15/2021 12:00:00 a. m.,280000,20,0,336000,BUENOS AIRES,FORD,FORD ESCORT CLX 1.8 16V,1997,"300.000,00",20000,11/16/2021 12:00:00 a. m.
3845,99,4,77243,9/12/2021,9/16/2021 12:00:00 a. m.,950900,20,0,1141080,MORON,VOLKSWAGEN,VW FOX 1.6 5 P. COMFORTLINE L/10 PACK,2014,"1.140.000,00",189100,10/6/2021 12:00:00 a. m.
3846,99,4,77253,9/12/2021,9/14/2021 12:00:00 a. m.,664000,20,0,796800,MARTINEZ,TOYOTA,TOYOTA COROLLA 2.0 XEI TD,2006,"796.800,00",132800,11/3/2021 12:00:00 a. m.
3847,99,4,77420,9/12/2021,9/16/2021 12:00:00 a. m.,510000,20,0,612000,BUENOS AIRES,RENAULT,RENAULT MEGANE 2 RN 5 PTAS (EXPRESSION) BIC 16 V,2004,"510.000,00",0,10/21/2021 12:00:00 a. m.
