ID,Ejercicio,Ramo,Siniestro,Fecha de ocurrencia,Fecha de derivacion,Suma asegurada,Ajuste,Accesorios,Tope de suma asegurada,Agencia,Marca de la unidad,Modelo de la unidad,Modelo / Año,Indemnizacion,MT indem - MT aseg,Fecha de pago
1,90,4,124377,12/11/2012,12/13/2012 12:00:00 a. m.,88000,20,0,105600,AVELLANEDA,FIAT,FIAT LINEA ESSENCE DUALOGIC,2009,"88.000,00",0,8/6/2021 12:00:00 a. m.
2,93,4,305227,6/7/2016,,407000,20,100000,608400,EXT.CASA MATRIZ,MERCEDES BENZ,M.BENZ L 1620-45,1998,"507.000,00",100000,6/7/2021 12:00:00 a. m.
3,95,4,93733,9/29/2017,10/5/2017 12:00:00 a. m.,159500,20,0,191400,MARTINEZ,FORD,FORD ECO SPORT 1.4 TDCI XL PLUS L/07,2008,"145.000,00",-14500,7/14/2021 12:00:00 a. m.
4,95,4,153254,11/23/2017,12/27/2017 12:00:00 a. m.,147400,20,0,176880,CORDOBA,VOLKSWAGEN,VW VOYAGE 1.6 4 P. COMFORTLINE PLUS AB,2010,"147.400,00",0,1/12/2021 12:00:00 a. m.
5,95,4,195046,1/2/2018,3/13/2018 12:00:00 a. m.,297000,10,0,326700,NOROESTE ARGENTINO,PEUGEOT,PEUGEOT 408 FELINE 2.0 N 4 P.,2013,"295.000,00",-2000,4/20/2021 12:00:00 a. m.
6,95,4,242849,2/19/2018,3/6/2018 12:00:00 a. m.,70000,10,15000,93500,AVELLANEDA,PEUGEOT,PEUGEOT 504 PICK UP GD,1992,"85.000,00",15000,4/27/2021 12:00:00 a. m.
7,95,4,305396,2/10/2018,4/23/2018 12:00:00 a. m.,112200,99,20000,132200,MORON,CHEVROLET,CHEVROLET CELTA 1.4 3 PTAS. LT,2011,"129.500,00",17300,2/3/2021 12:00:00 a. m.
8,95,4,306910,4/13/2018,11/14/2018 12:00:00 a. m.,266200,20,0,319440,SAN MARTIN,VOLKSWAGEN,VW FOX 1.6 5 P HIGHLINE L/15,2015,"319.440,00",53240,9/20/2021 12:00:00 a. m.
9,95,4,310365,4/14/2018,4/18/2018 12:00:00 a. m.,73700,20,0,88440,AVELLANEDA,VOLKSWAGEN,VW GOL GL 1.6 MI 5 PTAS.,1998,"73.700,00",0,6/27/2018 12:00:00 a. m.
10,95,4,318637,4/20/2018,5/20/2021 12:00:00 a. m.,181000,99,0,181000,MORON,CHEVROLET,CHEVROLET SILVERADO 4.2 TD DLX,1998,"181.000,00",0,9/14/2021 12:00:00 a. m.
11,95,4,348021,5/16/2018,5/29/2018 12:00:00 a. m.,285000,20,0,342000,MORON,FORD,FORD F-100 4.2 XLT D MWM,2004,"342.000,00",57000,3/5/2021 12:00:00 a. m.
12,96,4,23605,7/23/2018,8/1/2018 12:00:00 a. m.,78100,10,0,85910,AVELLANEDA,FIAT,FIAT SIENA S 1.7 D,2000,"78.100,00",0,4/13/2021 12:00:00 a. m.
13,96,4,36074,8/1/2018,8/6/2018 12:00:00 a. m.,150700,20,0,180840,MARTINEZ,FORD,FORD KA 1.0 FLY VIRAL L/11,2012,"147.000,00",-3700,9/14/2020 12:00:00 a. m.
14,96,4,46185,8/10/2018,1/11/2019 12:00:00 a. m.,251000,20,0,301200,MENDOZA,JEEP,JEEP GRAND CHEROKEE LIMITED 4.7,2000,"301.200,00",50200,3/1/2021 12:00:00 a. m.
15,96,4,51982,8/17/2018,8/22/2018 12:00:00 a. m.,202500,20,0,243000,MORON,CITROEN,CITROEN XSARA PICASSO 1.6 I 16V EXCLUSIVE,2010,"220.000,00",17500,8/25/2021 12:00:00 a. m.
16,96,4,62472,8/24/2018,9/4/2018 12:00:00 a. m.,135000,10,15000,165000,MORON,RENAULT,RENAULT SYMBOL 1.6 16V CONFORT,2009,"150.000,00",15000,8/9/2021 12:00:00 a. m.
17,96,4,63788,8/28/2018,9/13/2018 12:00:00 a. m.,145200,20,14000,191040,MORON,FORD,FORD ECO SPORT 1.6 XLS,2004,"160.000,00",14800,10/2/2018 12:00:00 a. m.
18,96,4,85384,9/10/2018,10/9/2018 12:00:00 a. m.,236500,10,0,260150,MORON,FIAT,FIAT DOBLO 1.4 CARGO ACTIVE,2013,"260.000,00",23500,5/31/2021 12:00:00 a. m.
19,96,4,199357,1/3/2019,12/12/2019 12:00:00 a. m.,124300,20,13500,165360,BUENOS AIRES,CHEVROLET,CHEVROLET CORSA GL 1.6 4P. A/A DH SUPER,2006,"134.500,00",10200,1/20/2021 12:00:00 a. m.
20,96,4,230858,2/2/2019,2/6/2019 12:00:00 a. m.,148500,20,15000,196200,AVELLANEDA,CITROEN,CITROEN XSARA PICASSO 2.0 16V EXCLUSIVE,2002,"148.500,00",0,11/2/2021 12:00:00 a. m.
21,96,4,242297,1/5/2019,2/26/2019 12:00:00 a. m.,214500,99,0,214500,MORON,RENAULT,RENAULT KANGOO CONFORT 1.6 CD SVT 1 PL,2013,"214.500,00",0,6/14/2021 12:00:00 a. m.
22,96,4,262906,3/1/2019,3/21/2019 12:00:00 a. m.,247500,20,0,297000,MARTINEZ,FIAT,FIAT GRAND SIENA 1.4 ATTRACTIVE TOP SEG,2014,"244.000,00",-3500,7/4/2019 12:00:00 a. m.
23,96,4,269169,3/7/2019,3/15/2019 12:00:00 a. m.,207900,99,12000,219900,MORON,FIAT,FIAT PALIO 1.4 5 P ATTRACTIVE L/12,2013,"219.900,00",12000,10/29/2021 12:00:00 a. m.
24,96,4,287354,3/23/2019,4/1/2019 12:00:00 a. m.,363000,20,0,435600,LOMAS DE ZAMORA,FORD,FORD RANGER XLT 3.0 TDI D/C 4X2,2008,"435.600,00",72600,7/21/2021 12:00:00 a. m.
25,96,4,301455,3/31/2019,4/22/2019 12:00:00 a. m.,776000,10,0,853600,MORON,VOLKSWAGEN,VW AMAROK 2.0 TD 4X2 DC TREND. 180 HP,2016,"820.000,00",44000,9/24/2021 12:00:00 a. m.
26,96,4,330139,5/2/2019,5/7/2019 12:00:00 a. m.,671000,30,0,872300,MONTE GRANDE,FORD,FORD F-14000/49,2000,"671.000,00",0,5/12/2021 12:00:00 a. m.
27,96,4,331764,5/6/2019,5/14/2019 12:00:00 a. m.,132000,99,10000,142000,AVELLANEDA,PEUGEOT,PEUGEOT 406 SV 2.0 16V,1999,"142.000,00",10000,5/21/2021 12:00:00 a. m.
28,96,4,337332,5/12/2019,5/23/2019 12:00:00 a. m.,156200,20,0,187440,MORON,FIAT,FIAT IDEA 1.4 ELX,2009,"187.000,00",30800,4/29/2021 12:00:00 a. m.
29,96,4,338277,4/29/2019,5/16/2019 12:00:00 a. m.,90000,20,2000,110400,SAN MARTIN,FORD,FORD ESCORT LX A/A,1994,"99.800,00",9800,2/12/2021 12:00:00 a. m.
30,96,4,338843,5/10/2019,5/17/2019 12:00:00 a. m.,130900,20,0,157080,CASA MATRIZ,FIAT,FIAT FIORINO FURGON 1.7 TD FIRE,2005,"157.080,00",26180,4/12/2021 12:00:00 a. m.
31,96,4,344655,5/15/2019,5/23/2019 12:00:00 a. m.,495000,99,0,495000,MENDOZA,TOYOTA,TOYOTA HILUX L/05 2.5 SC 4X4 TD COVER,2009,"495.000,00",0,2/10/2021 12:00:00 a. m.
32,96,4,349284,5/12/2019,5/29/2019 12:00:00 a. m.,253000,99,0,253000,MORON,FORD,FORD ECO SPORT 1.6 XL PLUS L/07,2012,"253.000,00",0,12/4/2020 12:00:00 a. m.
33,96,4,350356,5/22/2019,5/28/2019 12:00:00 a. m.,80000,10,0,88000,CASA MATRIZ,PEUGEOT,PEUGEOT 504 SRD FULL,1993,"88.000,00",8000,8/23/2021 12:00:00 a. m.
34,96,4,355900,5/27/2019,5/30/2019 12:00:00 a. m.,473000,10,0,520300,QUILMES,KIA,KIA SOUL 1.6 EX POP AUT,2011,"473.000,00",0,5/27/2021 12:00:00 a. m.
35,96,4,356447,5/28/2019,7/12/2019 12:00:00 a. m.,162800,10,0,179080,CASA MATRIZ,RENAULT,RENAULT KANGOO EXPRESS RLD CONFORT A/A,2007,"162.800,00",0,4/30/2021 12:00:00 a. m.
36,96,4,363107,6/1/2019,6/13/2019 12:00:00 a. m.,650000,10,0,715000,MORON,JEEP,JEEP RENEGADE 1.8 SPORT 4X2,2018,"709.500,00",59500,7/30/2021 12:00:00 a. m.
37,96,4,380589,6/20/2019,6/21/2019 12:00:00 a. m.,162800,99,0,162800,BUENOS AIRES,VOLVO,VOLVO V 40 2.0 T4,1998,"110.000,00",-52800,4/9/2021 12:00:00 a. m.
38,96,4,389887,6/22/2019,7/10/2019 12:00:00 a. m.,254100,10,0,279510,MORON,VOLKSWAGEN,VW FOX 1.6 5 P. COMFORTLINE L/10 PACK,2011,"264.250,00",10150,6/14/2021 12:00:00 a. m.
39,96,44,2454,5/12/2019,5/23/2019 12:00:00 a. m.,28600,20,0,34320,MORON,YAMAHA,YAMAHA YBR 125 R,2015,"34.320,00",5720,12/4/2020 12:00:00 a. m.
40,97,4,4523,7/2/2019,7/4/2019 12:00:00 a. m.,880000,20,0,1056000,LOMAS DE ZAMORA,MERCEDES BENZ,M.BENZ SPRINTER 413 MINIBUS 4025 19+1,2009,"880.000,00",0,1/4/2021 12:00:00 a. m.
41,97,4,9356,7/9/2019,9/17/2019 12:00:00 a. m.,156200,10,0,171820,MENDOZA,PEUGEOT,PEUGEOT 206 XRD 1.9 5 PTAS. FASE II CONFORT,2005,"156.200,00",0,5/16/2021 12:00:00 a. m.
42,97,4,22527,7/17/2019,8/27/2019 12:00:00 a. m.,180400,10,18000,218240,SAN MARTIN,FIAT,FIAT SIENA 1.4 ATTRACTIVE EMOTION,2010,"211.500,00",31100,7/20/2021 12:00:00 a. m.
43,97,4,36158,7/28/2019,8/2/2019 12:00:00 a. m.,91300,10,0,100430,CASA MATRIZ,FORD,FORD FIESTA LX 5 PTAS. FULL,1999,"98.000,00",6700,5/19/2021 12:00:00 a. m.
44,97,4,48695,8/11/2019,8/16/2019 12:00:00 a. m.,610000,10,0,671000,QUILMES,PEUGEOT,PEUGEOT 2008 1.6 FELINE,2017,"658.000,00",48000,6/7/2021 12:00:00 a. m.
45,97,4,62384,8/20/2019,8/30/2019 12:00:00 a. m.,236500,20,0,283800,BUENOS AIRES,PEUGEOT,PEUGEOT 207 COMPACT 1.9 5 P. XS D,2011,"245.000,00",8500,10/7/2020 12:00:00 a. m.
46,97,4,86591,9/13/2019,9/17/2019 12:00:00 a. m.,293200,99,0,293200,BUENOS AIRES,FORD,FORD FIESTA 1.6 5 PTAS. TITANIUM (KD),2010,"293.200,00",0,1/15/2020 12:00:00 a. m.
47,97,4,118071,10/2/2019,10/16/2019 12:00:00 a. m.,95000,20,0,114000,MARTINEZ,VOLKSWAGEN,VW GOL SD 1.9 5PTAS.,1999,"100.000,00",5000,6/15/2021 12:00:00 a. m.
48,97,4,123405,10/16/2019,11/8/2019 12:00:00 a. m.,167200,99,34000,201200,ROSARIO,CHEVROLET,CHEVROLET CLASSIC 1.4 3 PTAS. LT,2010,"201.200,00",34000,8/24/2021 12:00:00 a. m.
49,97,4,124275,10/16/2019,10/18/2019 12:00:00 a. m.,246800,20,0,296160,BUENOS AIRES,FORD,FORD KA 1.6 FLY VIRAL L/11,2013,"246.800,00",0,7/1/2021 12:00:00 a. m.
50,97,4,135329,10/27/2019,12/9/2019 12:00:00 a. m.,100000,20,0,120000,ROSARIO,FORD,FORD ESCORT GL 1.8 3 PTAS.,1997,"115.000,00",15000,12/10/2019 12:00:00 a. m.
51,97,4,138608,10/28/2019,10/31/2019 12:00:00 a. m.,97900,10,15000,124190,EXT.CASA MATRIZ,FORD,FORD ESCORT GLX,1997,"97.000,00",-900,1/18/2021 12:00:00 a. m.
52,97,4,144022,10/31/2019,11/12/2019 12:00:00 a. m.,225500,20,0,270600,AVELLANEDA,RENAULT,RENAULT SANDERO 1.6 16V CONFORT L/11,2011,"270.600,00",45100,10/18/2021 12:00:00 a. m.
53,97,4,149329,11/5/2019,8/11/2021 12:00:00 a. m.,129900,20,0,155880,SAN MARTIN,VOLKSWAGEN,VW GOLF GLX 2.0 TC,1996,"129.000,00",-900,8/12/2021 12:00:00 a. m.
54,97,4,155359,11/12/2019,11/20/2019 12:00:00 a. m.,218500,20,0,262200,AVELLANEDA,VOLKSWAGEN,VW GOL 1.6 5 P. TREND PACK I PLUS,2009,"250.000,00",31500,10/26/2021 12:00:00 a. m.
55,97,4,158536,11/14/2019,11/19/2019 12:00:00 a. m.,912000,20,0,1094400,MARTINEZ,MERCEDES BENZ,M.BENZ B 200 BLUEEFFICIENCY CITY,2013,"864.000,00",-48000,10/6/2020 12:00:00 a. m.
56,97,4,160428,11/18/2019,11/20/2019 12:00:00 a. m.,575000,99,0,575000,QUILMES,FORD,FORD KA 1.5 SEL+,2017,"575.000,00",0,6/18/2021 12:00:00 a. m.
57,97,4,166106,11/21/2019,11/27/2019 12:00:00 a. m.,244800,20,0,293760,BUENOS AIRES,FIAT,FIAT FIORINO FURGON FIRE,2012,"244.800,00",0,2/1/2021 12:00:00 a. m.
58,97,4,170253,11/22/2019,12/10/2019 12:00:00 a. m.,320000,10,0,352000,CASA MATRIZ,FORD,FORD F-100 2.5T XL D A/A,1997,"352.000,00",32000,9/1/2020 12:00:00 a. m.
59,97,4,171167,11/23/2019,6/26/2020 12:00:00 a. m.,165000,20,0,198000,CASA MATRIZ,SUZUKI,SUZUKI FUN 1.4 5 PTAS. L/N,2007,"165.000,00",0,3/11/2021 12:00:00 a. m.
60,97,4,172631,11/26/2019,12/2/2019 12:00:00 a. m.,205000,20,0,246000,QUILMES,VOLKSWAGEN,VW GOL TREND 1.6 5 P. PACK II,2008,"246.000,00",41000,5/19/2021 12:00:00 a. m.
61,97,4,183536,12/6/2019,12/23/2019 12:00:00 a. m.,154100,99,15000,169100,AVELLANEDA,VOLKSWAGEN,VW GOL 1.6 3 P. POWER LN AA DH,2008,"169.100,00",15000,12/23/2021 12:00:00 a. m.
62,97,4,186836,12/7/2019,12/16/2019 12:00:00 a. m.,787700,20,0,945240,MORON,FORD,FORD RANGER XLT 3.2 TDI DC 4X2,2013,"930.000,00",142300,5/20/2021 12:00:00 a. m.
63,97,4,193115,12/13/2019,4/2/2020 12:00:00 a. m.,65000,20,15000,96000,AVELLANEDA,PEUGEOT,PEUGEOT 504 NAFTERO,1989,"80.000,00",15000,9/21/2020 12:00:00 a. m.
64,97,4,193561,12/14/2019,12/19/2019 12:00:00 a. m.,118000,20,0,141600,AVELLANEDA,FORD,FORD COURIER PICK UP D DH A/A,2001,"125.000,00",7000,2/23/2021 12:00:00 a. m.
65,97,4,207884,12/27/2019,1/3/2020 12:00:00 a. m.,125000,10,0,137500,BUENOS AIRES,FORD,FORD COURIER PICK-UP 1.6 XL PLUS,2009,"137.500,00",12500,5/14/2021 12:00:00 a. m.
66,97,4,208073,12/27/2019,2/18/2020 12:00:00 a. m.,468000,99,50000,518000,ROSARIO,CHEVROLET,CHEVROLET ONIX LTZ 1.4 N,2013,"518.000,00",50000,12/28/2020 12:00:00 a. m.
67,97,4,211028,12/31/2019,2/21/2020 12:00:00 a. m.,195500,10,16000,232650,MORON,CHEVROLET,CHEVROLET CORSA GL 1.6 4P. A/A DH SUPER,2008,"215.000,00",19500,7/28/2021 12:00:00 a. m.
68,97,4,214929,1/6/2020,1/9/2020 12:00:00 a. m.,106900,20,10000,140280,MORON,VOLKSWAGEN,VW GOL GL 1.6 MI 3 PTAS.,1998,"115.600,00",8700,6/14/2021 12:00:00 a. m.
69,97,4,223472,1/4/2020,1/15/2020 12:00:00 a. m.,251000,10,0,276100,CASA MATRIZ,RENAULT,RENAULT MEGANE II 1.5 CONFORT DCI,2010,"225.900,00",-25100,7/28/2021 12:00:00 a. m.
70,97,4,225278,1/14/2020,1/30/2020 12:00:00 a. m.,250800,20,0,300960,MORON,FORD,FORD KA 1.0 FLY PLUS,2011,"250.000,00",-800,12/30/2020 12:00:00 a. m.
71,97,4,231146,1/20/2020,1/28/2020 12:00:00 a. m.,109200,20,28000,164640,BUENOS AIRES,FIAT,FIAT PALIO EL 1.6 AA LVE WEEKEND,1998,"145.000,00",35800,1/5/2021 12:00:00 a. m.
72,97,4,231997,1/22/2020,1/27/2020 12:00:00 a. m.,230400,20,0,276480,MARTINEZ,FORD,FORD ECO SPORT 1.6 XLS,2004,"205.000,00",-25400,10/19/2020 12:00:00 a. m.
73,97,4,235092,1/9/2020,2/5/2020 12:00:00 a. m.,491000,20,0,589200,MARTINEZ,CHEVROLET,CHEVROLET CAPTIVA 2.0 D LT,2010,"559.000,00",68000,1/5/2021 12:00:00 a. m.
74,97,4,235129,1/24/2020,2/3/2020 12:00:00 a. m.,804000,10,112000,1007600,MENDOZA,TOYOTA,TOYOTA HILUX L/N 2.5 D/CAB 4X4 TD DX,2009,"1.007.600,00",203600,5/11/2021 12:00:00 a. m.
75,97,4,236620,1/26/2020,2/26/2020 12:00:00 a. m.,117100,99,0,117100,AVELLANEDA,VOLKSWAGEN,VW GOL PLUS MI 1.6 3 PTAS.,1997,"102.100,00",-15000,5/7/2021 12:00:00 a. m.
76,97,4,240560,1/29/2020,2/12/2020 12:00:00 a. m.,1091000,10,0,1200100,MORON,TOYOTA,TOYOTA HILUX L/12 3.0 DC 4X4 TDI SRV CU,2013,"1.200.100,00",109100,3/1/2021 12:00:00 a. m.
77,97,4,245843,2/3/2020,2/6/2020 12:00:00 a. m.,528000,99,0,528000,AVELLANEDA,CHEVROLET,CHEVROLET ONIX 1.4 LTZ AUT,2014,"486.000,00",-42000,11/19/2021 12:00:00 a. m.
78,97,4,246353,2/4/2020,12/9/2020 12:00:00 a. m.,207000,20,0,248400,MORON,VOLKSWAGEN,VW GOL 1.6 5 P. TREND,2009,"248.400,00",41400,5/3/2021 12:00:00 a. m.
79,97,4,249078,2/5/2020,2/21/2020 12:00:00 a. m.,375000,10,0,412500,SAN MARTIN,TOYOTA,TOYOTA HILUX 2.4 D 4X2 C/D FULL,1994,"304.686,00",-70314,2/12/2021 12:00:00 a. m.
80,97,4,252250,1/30/2020,2/21/2020 12:00:00 a. m.,184000,20,0,220800,BUENOS AIRES,VOLKSWAGEN,VW SAVEIRO 1.6 MI PLUS,2010,"207.000,00",23000,1/29/2021 12:00:00 a. m.
81,97,4,259256,2/17/2020,2/21/2020 12:00:00 a. m.,1380000,10,0,1518000,MORON,TOYOTA,TOYOTA HILUX L/12 3.0 DC 4X4 TDI SRV CU,2014,"1.422.500,00",42500,9/21/2020 12:00:00 a. m.
82,97,4,260478,2/16/2020,2/19/2020 12:00:00 a. m.,254000,10,0,279400,AVELLANEDA,NISSAN,NISSAN TIIDA 1.8 5 PTAS. TEKNA,2008,"279.400,00",25400,7/8/2021 12:00:00 a. m.
83,97,4,265470,2/17/2020,3/17/2020 12:00:00 a. m.,135600,10,20000,171160,ROSARIO,RENAULT,RENAULT MEGANE RT,1998,"155.000,00",19400,4/23/2021 12:00:00 a. m.
84,97,4,267460,2/23/2020,3/9/2020 12:00:00 a. m.,205000,20,30000,282000,SAN MARTIN,RENAULT,RENAULT KANGOO EXPRESS RLD 1.9 AA 2PLC,2001,"230.800,00",25800,2/22/2021 12:00:00 a. m.
85,97,4,272134,2/28/2020,4/2/2020 12:00:00 a. m.,460000,10,0,506000,SAN MARTIN,FORD,FORD RANGER XLT 2.8 TDI D/C 4X4 LIM.L/N,2006,"506.000,00",46000,8/4/2021 12:00:00 a. m.
86,97,4,274160,3/3/2020,3/13/2020 12:00:00 a. m.,300000,10,50000,385000,MORON,CHEVROLET,CHEVROLET MERIVA GL 1.8,2010,"385.000,00",85000,5/12/2021 12:00:00 a. m.
87,97,4,274520,2/29/2020,3/19/2020 12:00:00 a. m.,231100,40,30000,365540,MORON,CHEVROLET,CHEVROLET MERIVA 1.8 GL PLUS,2006,"270.000,00",38900,12/10/2020 12:00:00 a. m.
88,97,4,277086,3/4/2020,4/2/2020 12:00:00 a. m.,444000,10,0,488400,NEUQUEN,CHEVROLET,CHEVROLET S10 2.8 TDI 4X2 S/C,2005,"488.000,00",44000,3/19/2021 12:00:00 a. m.
89,97,4,278343,3/5/2020,11/30/2020 12:00:00 a. m.,1200000,10,0,1320000,SAN MARTIN,TOYOTA,TOYOTA HILUX 4X4 C/D DX PACK ELECTRICO 2.5 TDI,2015,"1.320.000,00",120000,12/10/2020 12:00:00 a. m.
90,97,4,282276,3/6/2020,3/12/2020 12:00:00 a. m.,204000,10,0,224400,M.DEL P.-ABYS,VOLKSWAGEN,VW GOL 1.6 3 P POWER PLUS,2010,"224.000,00",20000,1/19/2021 12:00:00 a. m.
91,97,4,283422,3/11/2020,3/13/2020 12:00:00 a. m.,174400,20,20000,233280,EXT.CASA MATRIZ,FIAT,FIAT SIENA EX 1.3 16V FIRE,2007,"182.000,00",7600,6/7/2021 12:00:00 a. m.
92,97,4,285854,3/12/2020,3/19/2020 12:00:00 a. m.,430000,20,0,516000,MORON,FIAT,FIAT MOBI EASY,2016,"500.000,00",70000,1/26/2021 12:00:00 a. m.
93,97,4,286208,3/12/2020,3/19/2020 12:00:00 a. m.,528000,20,0,633600,MORON,MERCEDES BENZ,M.BENZ SPRINTER 312D 3550 V1 FURGON,2001,"540.000,00",12000,2/1/2021 12:00:00 a. m.
94,97,4,286551,3/16/2020,3/20/2020 12:00:00 a. m.,170400,99,0,170400,MARTINEZ,RENAULT,RENAULT MEGANE SCENIC RT TDI AB ABS,2001,"170.400,00",0,2/19/2021 12:00:00 a. m.
95,97,4,287040,3/15/2020,3/18/2020 12:00:00 a. m.,648000,20,0,777600,BUENOS AIRES,TOYOTA,TOYOTA COROLLA 1.8 SE-G AUT L/11,2013,"650.000,00",2000,2/3/2021 12:00:00 a. m.
96,97,4,290675,3/17/2020,3/25/2020 12:00:00 a. m.,708000,10,90000,877800,MARTINEZ,FORD,FORD RANGER XL 3.0 TDI DC 4X2 PLUS L/10,2011,"780.250,00",72250,9/6/2021 12:00:00 a. m.
97,97,4,291334,3/19/2020,3/26/2020 12:00:00 a. m.,324000,20,60000,460800,MORON,RENAULT,RENAULT SYMBOL 1.6 16V PACK,2012,"460.000,00",136000,5/7/2021 12:00:00 a. m.
98,97,4,291384,3/17/2020,4/17/2020 12:00:00 a. m.,104400,20,10000,137280,CASA MATRIZ,RENAULT,RENAULT 21 TXE,1994,"137.280,00",32880,8/12/2021 12:00:00 a. m.
99,97,4,292006,3/26/2020,3/30/2020 12:00:00 a. m.,196800,20,0,236160,MORON,VOLKSWAGEN,VW GOL 1.6 3 P. POWER PLUS AA,2010,"236.160,00",39360,12/17/2021 12:00:00 a. m.
100,97,4,293351,4/6/2020,4/8/2020 12:00:00 a. m.,806000,10,0,886600,BUENOS AIRES,BMW,BMW X5 4.4 PREMIUM,2001,"850.000,00",44000,7/15/2020 12:00:00 a. m.
101,97,4,295502,3/31/2020,4/21/2020 12:00:00 a. m.,222000,20,20000,290400,MARTINEZ,FORD,FORD KA 1.6 XR SPORT,2004,"210.000,00",-12000,10/13/2020 12:00:00 a. m.
102,97,4,295822,4/19/2020,4/21/2020 12:00:00 a. m.,420000,20,0,504000,MONTE GRANDE,PEUGEOT,PEUGEOT PARTNER 1.9D PATAGONICA FULL 2PLC,2010,"504.000,00",84000,3/18/2021 12:00:00 a. m.
103,97,4,298791,3/15/2020,8/4/2020 12:00:00 a. m.,348000,20,40000,465600,MENDOZA,FORD,FORD RANGER XL 2.5 TDI C/D,2001,"385.000,00",37000,10/5/2020 12:00:00 a. m.
104,97,4,300003,4/21/2020,6/4/2020 12:00:00 a. m.,216000,10,0,237600,ROSARIO,RENAULT,RENAULT CLIO 2 F2 1.2 3 P. PACK PLUS,2009,"237.600,00",21600,1/25/2021 12:00:00 a. m.
105,97,4,300570,3/17/2020,2/1/2021 12:00:00 a. m.,450100,99,0,450100,ROSARIO,HONDA,HONDA CIVIC LXS 1.8,2008,"450.100,00",0,3/17/2021 12:00:00 a. m.
106,97,4,301249,5/2/2020,5/10/2020 12:00:00 a. m.,112000,10,0,123200,MORON,PEUGEOT,PEUGEOT 504 XSD TF BASE,1995,"123.200,00",11200,11/19/2021 12:00:00 a. m.
107,97,4,302229,5/4/2020,6/3/2020 12:00:00 a. m.,1800000,10,0,1980000,BUENOS AIRES,AUDI,AUDI Q7 4.2 FSI TIPTRONIC QUATTRO,2007,"1.980.000,00",180000,1/14/2021 12:00:00 a. m.
108,97,4,302348,5/9/2020,5/12/2020 12:00:00 a. m.,188400,20,0,226080,BUENOS AIRES,VOLKSWAGEN,VW GOL 1.6 5 P. POWER LN AA DH,2006,"188.400,00",0,8/14/2020 12:00:00 a. m.
109,97,4,305152,5/8/2020,5/18/2020 12:00:00 a. m.,312000,20,50000,434400,MARTINEZ,CHEVROLET,CHEVROLET VECTRA GLS 2.0 L/11,2011,"375.000,00",63000,4/19/2021 12:00:00 a. m.
110,97,4,306076,5/17/2020,,591000,30,0,768300,EXT.CASA MATRIZ,FORD,FORD FOCUS L/16 1.6 5 P S,2016,"768.300,00",177300,5/19/2020 12:00:00 a. m.
111,97,4,307113,5/18/2020,5/25/2020 12:00:00 a. m.,290400,10,48000,372240,MORON,CHEVROLET,CHEVROLET CLASSIC 1.4 4 PTAS. LS AA,2012,"386.000,00",95600,7/21/2021 12:00:00 a. m.
112,97,4,308583,5/16/2020,5/26/2020 12:00:00 a. m.,114000,20,10000,148800,MARTINEZ,RENAULT,RENAULT 21 TXE NEVADA,1994,"128.000,00",14000,7/2/2021 12:00:00 a. m.
113,97,4,310414,5/26/2020,6/1/2020 12:00:00 a. m.,403200,20,60000,555840,AVELLANEDA,FIAT,FIAT QUBO FIORINO 1.4 DYNAMIC,2013,"520.000,00",116800,6/2/2021 12:00:00 a. m.
114,97,4,310493,5/26/2020,5/28/2020 12:00:00 a. m.,194400,20,6000,240480,MARTINEZ,VOLKSWAGEN,VW POLO CLASSIC 1.9 SD A/A,1998,"170.000,00",-24400,12/28/2020 12:00:00 a. m.
115,97,4,311147,5/27/2020,5/29/2020 12:00:00 a. m.,204000,10,0,224400,M.DEL PLATA (ERNANDES),SUZUKI,SUZUKI FUN 1.0 AA,2005,"224.400,00",20400,4/26/2021 12:00:00 a. m.
116,97,4,311371,5/26/2020,9/17/2020 12:00:00 a. m.,3948000,99,0,3948000,NOROESTE ARGENTINO,MERCEDES BENZ,M.BENZ ATRON 1634-51,2015,"3.948.000,00",0,6/15/2021 12:00:00 a. m.
117,97,4,313192,5/31/2020,7/17/2020 12:00:00 a. m.,652800,20,0,783360,QUILMES,PEUGEOT,PEUGEOT 3008 PREMIUM PLUS,2010,"720.000,00",67200,1/19/2021 12:00:00 a. m.
118,97,4,314327,6/1/2020,11/3/2020 12:00:00 a. m.,318000,20,45000,435600,SAN MARTIN,FORD,FORD TRANSIT 2.5 D 190 L,1997,"385.000,00",67000,5/19/2021 12:00:00 a. m.
119,97,4,318470,6/5/2020,7/17/2020 12:00:00 a. m.,260000,10,0,286000,MORON,CHEVROLET,CHEVROLET ASTRA II GL 2.0 5 PTAS.,2006,"286.000,00",26000,5/14/2021 12:00:00 a. m.
120,97,4,318947,6/8/2020,9/28/2020 12:00:00 a. m.,212400,99,0,212400,CORDOBA,RENAULT,RENAULT MEGANE 2 RN 5 PTAS (EXPRESSION) BIC 16 V,2006,"200.000,00",-12400,3/29/2021 12:00:00 a. m.
121,97,4,319126,6/5/2020,6/12/2020 12:00:00 a. m.,270000,20,0,324000,AVELLANEDA,RENAULT,RENAULT MEGANE II 1.5 LUXE DCI,2008,"310.000,00",40000,3/10/2021 12:00:00 a. m.
122,97,4,321444,6/15/2020,6/19/2020 12:00:00 a. m.,426000,99,0,426000,MISIONES,CHEVROLET,CHEVROLET S10 2.8 TDI D/C,2003,"213.000,00",-213000,1/20/2021 12:00:00 a. m.
